
============================================================
Run started : 2026-03-23 15:19:09
Remaining   : 669 samples
============================================================
#      Source File                        Actual  Predicted  Status
──────────────────────────────────────────────────────────────────────

============================================================
Run started : 2026-03-23 15:20:15
Remaining   : 669 samples
============================================================
#      Source File                        Actual  Predicted  Status
──────────────────────────────────────────────────────────────────────
  283    TOKYOPLAST.NS_RAW.csv                1.06       0.38
  284    TTKHLTCARE.NS_RAW.csv               44.47      17.18
  285    VERTOZ.NS_RAW.csv                  100.40       7.25
  286    VIDHIING.NS_RAW.csv                  7.31       4.65
  287    VINCOFE.NS_RAW.csv                   1.14       0.45
  288    YATRA.NS_RAW.csv                    -0.33       0.03
  289    ZEELEARN.NS_RAW.csv                  4.99     -13.60
  290    SAURASHCEM.NS_RAW.csv                5.10      -0.03
  291    SBCL.NS_RAW.csv                     13.34      15.18
  292    SHREEPUSHK.NS_RAW.csv               11.69      12.18
  293    SJS.NS_RAW.csv                      26.87      23.01
  294    SOMICONVEY.NS_RAW.csv                3.86       3.18
  295    TATAPOWER.NS_RAW.csv                11.56       7.62
  296    TREJHARA.NS_RAW.csv                  9.02      -5.33
  297    VHLTD.NS_RAW.csv                     0.46      -5.01
  298    SAMPANN.NS_RAW.csv                  -0.21      -1.03
  299    SASTASUNDR.NS_RAW.csv                2.79     -22.70
  300    SCPL.NS_RAW.csv                     19.85      20.16
  301    SEJALLTD.NS_RAW.csv                  3.27       7.50
  302    SKYGOLD.NS_RAW.csv                   3.50       4.00
  303    SMLMAH.NS_RAW.csv                   74.54      27.71
  304    SRD.NS_RAW.csv                       1.02       1.65
  305    SUBEXLTD.NS_RAW.csv                 -3.47      -1.03
  306    SUMIT.NS_RAW.csv                     2.44       3.18
  307    TARC.NS_RAW.csv                     -2.61      -1.03
  308    THEJO.NS_RAW.csv                    51.43      49.18
  309    TTML.NS_RAW.csv                     -6.28      -5.01
  310    TVSHLTD.NS_RAW.csv                 395.60       1.20
  311    ULTRACEMCO.NS_RAW.csv              242.87     207.31
  312    UNITECH.NS_RAW.csv                 -12.72     -12.77
  313    UPL.NS_RAW.csv                     -17.45      49.00
  314    USK.NS_RAW.csv                       5.54       5.01
  315    VENUSREM.NS_RAW.csv                 21.31      18.18
  316    WAAREERTL.NS_RAW.csv                13.94       7.62
  317    WILLAMAGOR.NS_RAW.csv              -34.61      -0.20
  318    ZENITHEXPO.NS_RAW.csv                0.56       0.03
  319    ZODIACLOTH.NS_RAW.csv              -13.99      -8.03
  320    SHALPAINTS.NS_RAW.csv               -9.52      -5.01
  321    SHIVALIK.NS_RAW.csv                  8.35       7.65
  322    SICALLOG.NS_RAW.csv                 -3.80     -10.18
  323    SIGMA.NS_RAW.csv                     1.57       2.03
  324    TEXINFRA.NS_RAW.csv                  0.42       0.03
  325    TIJARIA.NS_RAW.csv                  -1.23      -4.00
  326    TINNARUBR.NS_RAW.csv                23.52      15.03
  327    UFO.NS_RAW.csv                       4.24      -7.06
  328    UNIVASTU.NS_RAW.csv                  2.09       2.18
  329    MARUTI.NS_RAW.csv                  429.01     207.50
  330    SPENCERS.NS_RAW.csv                -29.57      -5.29
  331    TGBHOTELS.NS_RAW.csv                -1.22      -0.18
  332    TRF.NS_RAW.csv                      31.45      11.50
  333    TVVISION.NS_RAW.csv                 -6.13      -5.50
  334    SHAH.NS_RAW.csv                      0.11      -0.25
  335    SWANDEF.NS_RAW.csv                -449.62   66875.98
  336    VERANDA.NS_RAW.csv                 -12.20     -15.00
  337    MANUGRAPH.NS_RAW.csv                -6.53      -4.18
  338    SILINV.NS_RAW.csv                   27.76       8.50
  339    SECURKLOUD.NS_RAW.csv              -10.86      -8.33
  340    TCS.NS_RAW.csv                     125.88     117.05
  341    TATASTEEL.NS_RAW.csv                -3.62       7.50
  342    SBILIFE.NS_RAW.csv                  24.07       0.00
  343    STARHEALTH.NS_RAW.csv               10.86      18.00
  344    TMB.NS_RAW.csv                      74.68        NaN  ⚠ Word 'Forecast' not found
  345    TATAINVEST.NS_RAW.csv               61.68      77.05
  346    VSTIND.NS_RAW.csv                   17.10      19.00
  347    TECILCHEM.NS_RAW.csv                -0.20      -0.75
  348    TEAMGTY.NS_RAW.csv                   2.60       2.16
  349    UTKARSHBNK.NS_RAW.csv              250.00       0.00
  350    WELINV.NS_RAW.csv                   10.13       1.30
  351    TPHQ.NS_RAW.csv                      0.03       0.00
  352    UJJIVANSFB.NS_RAW.csv                3.71       7.00
  353    SOUTHBANK.NS_RAW.csv                 4.98       7.50
  354    SHANTIGEAR.NS_RAW.csv               12.52       9.77
  355    TAINWALCHM.NS_RAW.csv                5.25       4.18
  356    STEL.NS_RAW.csv                      8.60       6.62
  357    SAMMAANCAP.NS_RAW.csv              -26.70      23.53
  358    UNIENTER.NS_RAW.csv                  0.04       0.00
  359    SUNDARMFIN.NS_RAW.csv              170.53     162.23
  360    UCOBANK.NS_RAW.csv                   2.46        NaN  ⚠ Word 'Forecast' not found
  361    SBICARD.NS_RAW.csv                  20.14        NaN  ⚠ Word 'Forecast' not found
  362    TRACXN.NS_RAW.csv                   -0.89       0.31
  363    UNIVPHOTO.NS_RAW.csv                79.49      37.18
  364    WAAREEINDO.NS_RAW.csv               13.17       0.00
  365    YESBANK.NS_RAW.csv                   0.78      -1.01
  366    SURANASOL.NS_RAW.csv                -0.01      -0.31
  367    VOLTAMP.NS_RAW.csv                 321.65     367.00
  368    SUMMITSEC.NS_RAW.csv                62.92      64.18
  369    SGFIN.NS_RAW.csv                    13.45      15.50
  370    SANDESH.NS_RAW.csv                 101.89     207.47
  371    SESHAPAPER.NS_RAW.csv               18.13      15.00
  372    SHRIRAMFIN.NS_RAW.csv               50.75        NaN  ⚠ Word 'Forecast' not found
  373    STCINDIA.NS_RAW.csv                  0.00      14.50
  374    TDPOWERSYS.NS_RAW.csv               11.17       8.18
  375    UNIECOM.NS_RAW.csv                   1.58       1.30
  376    UNIONBANK.NS_RAW.csv                23.62      23.18
  377    USHAMART.NS_RAW.csv                 13.37      14.18
  378    VIVIDHA.NS_RAW.csv                  -0.06      -0.07
  379    VOLTAS.NS_RAW.csv                   25.43      15.50
  380    WENDT.NS_RAW.csv                   197.43        NaN  ⚠ Word 'Forecast' not found
  381    SANGAMIND.NS_RAW.csv                 6.33      15.18
  382    SHAREINDIA.NS_RAW.csv               14.90      23.83
  383    SILLYMONKS.NS_RAW.csv                0.20      -0.05
  384    SONATSOFTW.NS_RAW.csv               15.28        NaN  ⚠ Word 'Forecast' not found
  385    STYLAMIND.NS_RAW.csv                71.91      77.00
  386    WELSPUNLIV.NS_RAW.csv                6.68       7.18
  387    ZENSARTECH.NS_RAW.csv               28.43      30.18
  388    MASTEK.NS_RAW.csv                  120.65      77.31
  389    SUPERSPIN.NS_RAW.csv                -2.98      -0.03
  390    THERMAX.NS_RAW.csv                  56.31      62.05
  391    VIJAYA.NS_RAW.csv                   13.92      14.77
  392    WELENT.NS_RAW.csv                   23.30        NaN  ⚠ Word 'Forecast' not found
  393    TBOTEK.NS_RAW.csv                   21.48      23.71
  394    THOMASCOOK.NS_RAW.csv                5.46       7.62
  395    UTTAMSUGAR.NS_RAW.csv               23.16      34.67
  396    SANATHAN.NS_RAW.csv                 84.44      18.18
  397    SANGHVIMOV.NS_RAW.csv               18.08      27.00
  398    SANGINITA.NS_RAW.csv                 0.24       0.41
  399    SONACOMS.NS_RAW.csv                  9.92      10.05
  400    SPORTKING.NS_RAW.csv                 8.57       4.50
  401    STEELCAS.NS_RAW.csv                 35.67      37.50
  402    TATATECH.NS_RAW.csv                 16.66      18.18
  403    TEAMLEASE.NS_RAW.csv                64.86      68.00
  404    TIMETECHNO.NS_RAW.csv                8.55       7.00
  405    TIPSFILMS.NS_RAW.csv              -105.02       5.01
  406    SHRIRAMPPS.NS_RAW.csv                8.43       5.01
  407    SURYAROSNI.NS_RAW.csv               15.93      15.50
  408    TRANSRAILL.NS_RAW.csv               25.56      27.05
  409    TRIDENT.NS_RAW.csv                   5.07       1.05
  410    UNOMINDA.NS_RAW.csv                 16.37      16.00
  411    VAIBHAVGBL.NS_RAW.csv                9.10       7.50
  412    VISHNU.NS_RAW.csv                   19.23      18.18
  413    SARDAEN.NS_RAW.csv                  38.23      12.77
  414    SKIPPER.NS_RAW.csv                  13.85      10.18
  415    TIIL.NS_RAW.csv                    112.32     121.77
  416    VENTIVE.NS_RAW.csv                   6.83      -1.14
